distance_m,interval_s,qr_visible,qr_visible_time_ms,qr_detected,qr_detected_time_ms
3.000000,1.000000,True,798.320,True,798.320
3.000000,1.000000,True,811.407,True,811.407
3.000000,1.000000,True,71.622,True,71.622
3.000000,1.000000,True,609.818,True,609.818
3.000000,1.000000,True,410.611,False,
3.000000,1.000000,True,79.911,True,79.911
3.000000,1.000000,True,17.869,True,17.869
3.000000,1.000000,True,28.428,True,28.428
3.000000,1.000000,True,28.414,True,28.414
3.000000,1.000000,False,,False,
