distance_m,interval_s,uwb_raw_azimuth_deg,gimbal_command_deg,qr_visible,qr_detected
3.000000,1.000000,-28.0,0.0,True,True
3.000000,1.000000,25.0,-2.0,True,True
3.000000,1.000000,0.9,-1.0999999999999943,True,True
3.000000,1.000000,-39.9,0.09999999999999432,True,True
3.000000,1.000000,-44.5,4.5,False,False
3.000000,1.000000,-1.9,-1.9000000000000057,True,True
3.000000,1.000000,-5.8,-4.800000000000011,True,True
3.000000,1.000000,11.4,-3.5999999999999943,False,False
3.000000,1.000000,-59.3,-50.30000000000001,True,False
3.000000,1.000000,52.5,2.5,True,True
