distance_m,interval_s,initial_gimbal_deg,uwb_raw_azimuth_deg,gimbal_command_deg,qr_visible,qr_detected
3.000000,2.000000,28,-37.1,-9.099999999999994,True,True
3.000000,2.000000,-27,21.4,-5.599999999999994,True,True
3.000000,2.000000,-2,1.0,-1.0,True,True
3.000000,2.000000,40,-37.4,2.5999999999999943,True,True
3.000000,2.000000,49,-45.7,3.3000000000000114,True,True
3.000000,2.000000,0,-2.5,-2.5,True,True
3.000000,2.000000,1,-2.5,-1.5,True,True
3.000000,2.000000,-15,9.4,-5.599999999999994,True,True
3.000000,2.000000,9,-10.3,-1.3000000000000114,True,True
3.000000,2.000000,-50,44.8,-5.199999999999989,True,True
