attempt,window_started_at,target_color,color_visible,recognition_time_ms,color_center_x,color_center_y,color_center_distance_px,color_area_px,color_circularity,camera_frame_id,camera_captured_ns,detected_frame,failure_frame
1,2026-07-24T22:25:25.216+09:00,red,1,25.082,820,404,185.29975715040752,29467.5,0.7920105912759603,67,40492428199305,,
2,2026-07-24T22:25:25.416+09:00,red,1,24.957,821,405,186.51005334833832,29763.5,0.7831239279717601,70,40492628334228,,
3,2026-07-24T22:25:25.616+09:00,red,1,24.694,821,408,187.25650856512306,30287.5,0.7942160861118245,73,40492828328818,,
4,2026-07-24T22:25:25.817+09:00,red,1,22.310,820,410,186.81541692269406,30374.5,0.7884706950765575,76,40493026150460,,
5,2026-07-24T22:25:26.017+09:00,red,1,22.234,820,414,187.92551716038992,30334.5,0.7919789152926865,79,40493226299994,,
6,2026-07-24T22:25:26.217+09:00,red,1,22.420,820,413,187.6406139405859,30530.5,0.7921964925288546,82,40493426703732,,
7,2026-07-24T22:25:26.417+09:00,red,1,24.041,821,412,188.32153355365392,30453.0,0.8179177054623513,85,40493628528268,,
8,2026-07-24T22:25:26.617+09:00,red,1,22.260,821,414,188.88356201639147,30535.5,0.796900101971715,88,40493826990096,,
9,2026-07-24T22:25:26.818+09:00,red,1,23.278,822,415,190.12890364171355,30631.5,0.8293135145343921,91,40494028223632,,
10,2026-07-24T22:25:27.018+09:00,red,1,22.034,822,416,190.4205871222962,30577.0,0.8361980715041745,94,40494227179664,,
11,2026-07-24T22:25:27.218+09:00,red,1,22.053,821,417,189.76301009416983,30493.0,0.8083560291933608,97,40494427399457,,
12,2026-07-24T22:25:27.418+09:00,red,1,21.959,822,419,191.3243319601561,30508.0,0.8285730847584277,100,40494627508306,,
13,2026-07-24T22:25:27.618+09:00,red,1,21.884,822,421,191.9505144562004,30584.0,0.8246005418988901,103,40494827638451,,
14,2026-07-24T22:25:27.819+09:00,red,1,21.881,821,420,190.68560512005095,30444.5,0.796425716306995,106,40495027832745,,
15,2026-07-24T22:25:28.019+09:00,red,1,21.735,822,420,191.63506985935533,30459.5,0.8234832533237539,109,40495227886593,,
16,2026-07-24T22:25:28.219+09:00,red,1,21.724,822,420,191.63506985935533,30464.5,0.8328745089845496,112,40495428094091,,
17,2026-07-24T22:25:28.419+09:00,red,1,21.650,822,421,191.9505144562004,30460.0,0.8272694422462765,115,40495628238476,,
18,2026-07-24T22:25:28.619+09:00,red,1,21.598,821,421,191.0026177831079,30534.0,0.8301165440378462,118,40495828385899,,
19,2026-07-24T22:25:28.820+09:00,red,1,21.608,822,423,192.59543089076647,30458.0,0.8280503604890037,121,40496028601063,,
20,2026-07-24T22:25:29.020+09:00,red,1,21.538,822,425,193.25889371514057,30535.0,0.8281243562280055,124,40496228728412,,
21,2026-07-24T22:25:29.220+09:00,red,1,21.583,822,426,193.59752064528098,30407.0,0.8274989431439574,127,40496428969891,,
22,2026-07-24T22:25:29.420+09:00,red,1,22.677,823,425,194.20092687729377,30525.0,0.8283422972769374,130,40496630259982,,
23,2026-07-24T22:25:29.620+09:00,red,1,21.490,825,426,196.42046736529267,30453.5,0.8213238323373573,133,40496829272811,,
24,2026-07-24T22:25:29.821+09:00,red,1,21.412,826,427,197.69926656414282,30488.5,0.8146796738849121,136,40497029393919,,
25,2026-07-24T22:25:30.021+09:00,red,1,21.379,826,427,197.69926656414282,30478.0,0.7921672931361973,139,40497229542175,,
26,2026-07-24T22:25:30.221+09:00,red,1,21.343,825,430,197.80040444852483,30655.5,0.8211247378029712,142,40497429707190,,
27,2026-07-24T22:25:30.421+09:00,red,1,23.873,824,431,197.2232237846243,30506.0,0.8322210568676699,145,40497632436672,,
28,2026-07-24T22:25:30.621+09:00,red,1,21.268,824,430,196.8654362756449,30494.0,0.8359702750210428,148,40497830038703,,
29,2026-07-24T22:25:30.822+09:00,red,1,23.043,824,430,196.8654362756449,30383.5,0.8186127012152269,151,40498032091054,,
30,2026-07-24T22:25:31.022+09:00,red,1,20.900,824,430,196.8654362756449,30599.0,0.8230063945846088,154,40498230147789,,
31,2026-07-24T22:25:31.222+09:00,red,1,20.812,825,430,197.80040444852483,30473.0,0.8054155391561874,157,40498430262416,,
32,2026-07-24T22:25:31.422+09:00,red,1,20.758,825,431,198.15650380444242,30472.0,0.8136628949056335,160,40498630410413,,
33,2026-07-24T22:25:31.623+09:00,red,1,20.851,824,433,197.9520143873257,30430.0,0.8330211727812808,163,40498830706447,,
34,2026-07-24T22:25:31.823+09:00,red,1,20.864,824,434,198.3229689168655,30454.5,0.8351353408391017,166,40499030921648,,
35,2026-07-24T22:25:32.023+09:00,red,1,21.944,824,435,198.69826370655582,30462.0,0.8241373533697898,169,40499232204517,,
36,2026-07-24T22:25:32.223+09:00,red,1,23.193,824,435,198.69826370655582,30447.5,0.8251629362667874,172,40499433657627,,
37,2026-07-24T22:25:32.423+09:00,red,1,23.290,824,436,199.07787421006887,30456.5,0.8360375536185753,175,40499633959309,,
38,2026-07-24T22:25:32.624+09:00,red,1,21.462,824,436,199.07787421006887,30460.5,0.8255152523706675,178,40499832337470,,
39,2026-07-24T22:25:32.824+09:00,red,0,,,,,,,178,40499832337470,,failed_frames/attempt_00039_not_detected.jpg
40,2026-07-24T22:25:33.037+09:00,red,0,,,,,,,178,40499832337470,,failed_frames/attempt_00040_not_detected.jpg
41,2026-07-24T22:25:33.249+09:00,red,1,62.152,824,437,199.46177578674065,30455.0,0.8304818685739331,179,40500498338052,,
42,2026-07-24T22:25:33.449+09:00,red,1,62.111,824,438,199.8499437077729,30346.0,0.8175026835426246,182,40500698494030,,
43,2026-07-24T22:25:33.649+09:00,red,1,62.491,823,439,199.32385707686876,30385.0,0.8212269753186436,185,40500899067324,,
44,2026-07-24T22:25:33.849+09:00,red,1,62.076,823,439,199.32385707686876,30307.0,0.8065000400332005,188,40501098849580,,
45,2026-07-24T22:25:34.050+09:00,red,1,61.960,824,438,199.8499437077729,30316.5,0.8256255795902216,191,40501298927577,,
46,2026-07-24T22:25:34.250+09:00,red,1,63.054,824,438,199.8499437077729,30232.0,0.8025679979227806,194,40501500214908,,
