attempt,distance_m,target_color,crop_scale,interval_s,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,color_visible,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_hue_circular_mean_deg,red_saturation_mean,red_value_mean,red_b_mean,red_g_mean,red_r_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,status,started_at,finished_at
1,3.0,red,0.6,0.2,125.0,50.0,130,110,1,56.592678,2736,0.296875,356.3157110357254,144.73391812865498,141.56688596491227,66.05445906432749,61.20979532163743,141.56688596491227,2645.0,61.032778078668514,53,26740574228618,success,2026-07-27T21:06:51.077+09:00,2026-07-27T21:06:51.178+09:00
2,3.0,red,0.6,0.2,125.0,50.0,130,110,1,86.143911,2647,0.2872178819444445,356.75511214944925,143.92368719304872,139.74272761616925,64.95844352096714,60.878730638458634,139.74272761616925,2557.5,61.032778078668514,55,26740711131798,success,2026-07-27T21:06:51.183+09:00,2026-07-27T21:06:51.300+09:00
3,3.0,red,0.6,0.2,125.0,50.0,130,110,1,36.712899,2743,0.2976345486111111,355.98665107498806,145.18082391542106,140.3638352169158,65.62923806051768,60.42034269048487,140.3638352169158,2653.5,61.85466837676846,56,26740782631657,success,2026-07-27T21:06:51.304+09:00,2026-07-27T21:06:51.378+09:00
4,3.0,red,0.6,0.2,125.0,50.0,130,110,1,85.823116,2656,0.2881944444444444,356.365961644723,143.9800451807229,138.2082078313253,64.86182228915662,60.17658132530121,138.2082078313253,2567.5,61.032778078668514,58,26740911972746,success,2026-07-27T21:06:51.383+09:00,2026-07-27T21:06:51.500+09:00
5,3.0,red,0.6,0.2,125.0,50.0,130,110,1,35.828068,2599,0.28200954861111116,356.8086564592512,143.69603693728357,138.10811850711812,64.30319353597538,60.275490573297425,138.10811850711812,2511.0,61.032778078668514,59,26740981868092,success,2026-07-27T21:06:51.503+09:00,2026-07-27T21:06:51.578+09:00
6,3.0,red,0.6,0.2,125.0,50.0,130,110,1,154.275133,2694,0.2923177083333333,355.9996330447553,144.53266518188568,138.15738678544915,65.07015590200446,59.90163325909428,138.15738678544915,2605.0,61.85466837676846,61,26741180850342,success,2026-07-27T21:06:51.582+09:00,2026-07-27T21:06:51.767+09:00
7,3.0,red,0.6,0.2,125.0,50.0,130,110,1,40.621499,2693,0.2922092013888889,356.27618444516963,144.4864463423691,138.734125510583,64.9190493873004,60.12810991459339,138.734125510583,2604.0,61.85466837676846,62,26741245375017,success,2026-07-27T21:06:51.770+09:00,2026-07-27T21:06:51.847+09:00
8,3.0,red,0.6,0.2,125.0,50.0,130,110,1,153.63432,2761,0.2995876736111111,355.5808780738965,145.3585657370518,138.89568996740311,65.34661354581674,59.7102499094531,138.89568996740311,2672.5,61.85466837676846,64,26741447459129,success,2026-07-27T21:06:51.851+09:00,2026-07-27T21:06:52.036+09:00
9,3.0,red,0.6,0.2,125.0,50.0,130,110,1,96.709049,2735,0.2967664930555555,356.52165798929116,144.48775137111517,138.51371115173674,64.3744058500914,60.03436928702011,138.51371115173674,2645.0,61.85466837676846,66,26741574685761,success,2026-07-27T21:06:52.039+09:00,2026-07-27T21:06:52.168+09:00
10,3.0,red,0.6,0.2,125.0,50.0,130,110,1,31.332303,2689,0.2917751736111111,356.1238148752406,144.6392711044998,138.4105615470435,65.01747861658609,59.908888062476755,138.4105615470435,2601.5,61.85466837676846,67,26741647567487,success,2026-07-27T21:06:52.172+09:00,2026-07-27T21:06:52.234+09:00
11,3.0,red,0.6,0.2,125.0,50.0,130,110,1,39.508003,2761,0.2995876736111111,355.60247866295254,145.44947482796087,139.33574791742123,65.49474827960884,59.83303151032235,139.33574791742123,2672.5,61.85466837676846,68,26741719546993,success,2026-07-27T21:06:52.237+09:00,2026-07-27T21:06:52.311+09:00
12,3.0,red,0.6,0.2,125.0,50.0,130,110,1,85.637821,2746,0.2979600694444444,355.7746673482722,145.1602330662782,139.48980335032775,65.73816460305899,60.09796067006555,139.48980335032775,2655.0,61.85466837676846,70,26741847951715,success,2026-07-27T21:06:52.315+09:00,2026-07-27T21:06:52.429+09:00
