attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
1,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,28,127.0.0.1:57848,27.2,-27.2,0.8000000000000114,0.8000000000000114,0,red,0,0,,0,0.0,,,0.0,,98,26354493527954,failed_frames/attempt_001_color_not_detected.jpg,color_not_detected,2026-07-27T21:00:22.657+09:00,2026-07-27T21:00:25.861+09:00,
2,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-27,127.0.0.1:57848,-15.7,15.7,-11.300000000000011,-11.300000000000011,0,red,1,1,132.076437,1285,0.1394314236111111,133.37587548638132,125.39143968871596,1212.0,512.003906235099,143,26357632212497,,success,2026-07-27T21:00:25.862+09:00,2026-07-27T21:00:29.055+09:00,
3,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-2,127.0.0.1:57848,-1.8,1.8,-0.19999999999998863,-0.19999999999998863,0,red,1,1,61.179086,2707,0.2937282986111111,145.17805688954562,134.1529368304396,2617.5,63.15853069855251,182,26360567403990,,success,2026-07-27T21:00:29.056+09:00,2026-07-27T21:00:32.060+09:00,
4,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,40,127.0.0.1:57848,40.6,-40.6,-0.5999999999999943,-0.5999999999999943,0,red,0,0,,0,0.0,,,0.0,,230,26363904157682,failed_frames/attempt_004_color_not_detected.jpg,color_not_detected,2026-07-27T21:00:32.061+09:00,2026-07-27T21:00:35.261+09:00,
5,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,49,127.0.0.1:57848,54.4,-54.4,-5.400000000000006,-5.400000000000006,0,red,0,0,,0,0.0,,,0.0,,274,26367107315799,failed_frames/attempt_005_color_not_detected.jpg,color_not_detected,2026-07-27T21:00:35.262+09:00,2026-07-27T21:00:38.450+09:00,
6,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,0,127.0.0.1:57848,-0.4,0.4,0.4000000000000057,0.4000000000000057,0,red,1,1,73.216859,2707,0.2937282986111111,145.47617288511267,133.865533801256,2617.5,37.20215047547655,313,26369974470844,,success,2026-07-27T21:00:38.451+09:00,2026-07-27T21:00:41.455+09:00,
7,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,1,127.0.0.1:57848,0.6,-0.6,0.4000000000000057,0.4000000000000057,0,red,1,1,74.547319,2581,0.2800564236111111,143.07206509104998,135.29368461836498,2495.0,36.05551275463989,361,26373174125804,,success,2026-07-27T21:00:41.456+09:00,2026-07-27T21:00:44.660+09:00,
8,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-15,127.0.0.1:57848,-7.7,7.7,-7.300000000000011,-7.300000000000011,0,red,1,1,85.452934,2248,0.24392361111111113,140.78113879003558,134.73220640569394,2168.5,238.75719884434898,407,26376378388565,,success,2026-07-27T21:00:44.661+09:00,2026-07-27T21:00:47.855+09:00,
9,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,9,127.0.0.1:57848,8.0,-8.0,1.0,1.0,0,red,1,1,146.383812,1757,0.1906467013888889,146.88616960728515,130.94194649971544,1686.5,187.7578227398262,452,26379646241769,,success,2026-07-27T21:00:47.856+09:00,2026-07-27T21:00:51.055+09:00,
10,3.000000,0.200000,0.000000,0.6,125.0,50.0,130,110,-50,127.0.0.1:57848,-38.0,38.0,-12.0,-12.0,0,red,0,0,,0,0.0,,,0.0,,498,26382714645197,failed_frames/attempt_010_color_not_detected.jpg,color_not_detected,2026-07-27T21:00:51.057+09:00,2026-07-27T21:00:54.060+09:00,
