attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
1,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,28,127.0.0.1:39157,28.1,-28.1,-0.09999999999999432,-0.09999999999999432,0,red,1,1,120.323928,6342,0.6881510416666667,152.15562913907286,118.37701040681173,6206.0,10.44030650891055,101,29166957897433,,success,2026-07-27T21:47:14.853+09:00,2026-07-27T21:47:17.900+09:00,
2,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-27,127.0.0.1:39157,-18.2,18.2,-8.800000000000011,-8.800000000000011,0,red,1,1,38.819528,5872,0.6371527777777778,150.38641008174386,124.9734332425068,5741.0,99.6393496566492,145,29169902351591,,success,2026-07-27T21:47:17.901+09:00,2026-07-27T21:47:20.911+09:00,
3,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-2,127.0.0.1:39157,-1.8,1.8,-0.19999999999998863,-0.19999999999998863,0,red,1,1,126.911521,6102,0.662109375,150.04457554900034,127.20321206161914,5967.5,21.400934559032695,193,29173164448255,,success,2026-07-27T21:47:20.912+09:00,2026-07-27T21:47:24.100+09:00,
4,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,40,127.0.0.1:39157,40.5,-40.5,-0.5,-0.5,0,red,1,1,46.886116,5870,0.6369357638888888,157.3511073253833,114.47444633730834,5728.0,15.811388300841896,240,29176297275262,,success,2026-07-27T21:47:24.101+09:00,2026-07-27T21:47:27.306+09:00,
5,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,49,127.0.0.1:39157,53.6,-53.6,-4.599999999999994,-4.599999999999994,0,red,1,1,135.627042,4462,0.48415798611111105,159.23442402510085,113.50022411474676,4299.0,107.11675872616759,288,29179565325613,,success,2026-07-27T21:47:27.307+09:00,2026-07-27T21:47:30.492+09:00,
6,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,0,127.0.0.1:39157,-0.9,0.9,0.9000000000000057,0.9000000000000057,0,red,1,1,54.086501,6113,0.663302951388889,149.75511205627353,125.11287420251922,5979.5,12.041594578792296,327,29182501182081,,success,2026-07-27T21:47:30.496+09:00,2026-07-27T21:47:33.505+09:00,
7,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,1,127.0.0.1:39157,0.0,-0.0,1.0,1.0,0,red,1,1,49.000514,6148,0.6671006944444444,148.3680871828237,126.19925178919975,6012.5,11.045361017187261,375,29185703341084,,success,2026-07-27T21:47:33.506+09:00,2026-07-27T21:47:36.706+09:00,
8,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-15,127.0.0.1:39157,-8.2,8.2,-6.800000000000011,-6.800000000000011,0,red,1,1,51.72976,6123,0.6643880208333334,149.4367140290707,125.92960966846317,5987.5,125.60254774486066,423,29188906700012,,success,2026-07-27T21:47:36.707+09:00,2026-07-27T21:47:39.905+09:00,
9,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,9,127.0.0.1:39157,6.6,-6.6,2.4000000000000057,2.4000000000000057,0,red,1,1,60.730603,5960,0.6467013888888888,146.8785234899329,125.98120805369126,5830.0,50.635955604688654,467,29192110220225,,success,2026-07-27T21:47:39.906+09:00,2026-07-27T21:47:43.106+09:00,
10,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-50,127.0.0.1:39157,-39.0,39.0,-11.0,-11.0,0,red,1,1,59.938165,3451,0.3744574652777778,143.48130976528543,136.6412634019125,3349.0,182.33211456021672,511,29195315329960,,success,2026-07-27T21:47:43.107+09:00,2026-07-27T21:47:46.307+09:00,
11,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-24,127.0.0.1:39157,-15.6,15.6,-8.400000000000006,-8.400000000000006,0,red,1,1,66.401446,5767,0.625759548611111,145.72932200450842,127.57950407490897,5634.0,174.39323381370048,558,29198514326380,,success,2026-07-27T21:47:46.308+09:00,2026-07-27T21:47:49.502+09:00,
12,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,44,127.0.0.1:39157,47.9,-47.9,-3.9000000000000057,-3.9000000000000057,0,red,1,1,74.037812,1603,0.17393663194444445,161.32751091703057,110.84466625077978,1362.0,79.0,605,29201716741033,,success,2026-07-27T21:47:49.504+09:00,2026-07-27T21:47:52.694+09:00,
13,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,6,127.0.0.1:39157,4.0,-4.0,2.0,2.0,0,red,1,1,75.230096,6099,0.6617838541666666,148.43236596163305,120.93687489752419,5965.0,50.635955604688654,649,29204719530607,,success,2026-07-27T21:47:52.696+09:00,2026-07-27T21:47:55.699+09:00,
14,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,24,127.0.0.1:39157,25.0,-25.0,-1.0,-1.0,0,red,1,1,67.909406,6471,0.7021484375,153.32205223303973,119.96924741152837,6333.5,37.0,694,29207720075095,,success,2026-07-27T21:47:55.700+09:00,2026-07-27T21:47:58.708+09:00,
15,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-34,127.0.0.1:39157,-26.0,26.0,-8.0,-8.0,0,red,1,1,82.296201,5428,0.5889756944444445,151.60556374355195,130.21352247605012,5306.0,101.6070863670443,742,29210922853830,,success,2026-07-27T21:47:58.713+09:00,2026-07-27T21:48:01.900+09:00,
16,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,31,127.0.0.1:39157,32.3,-32.3,-1.3000000000000114,-1.3000000000000114,0,red,1,1,77.557045,5541,0.6012369791666666,157.47590687601516,112.61739758166397,5382.5,42.95346318982906,789,29214127404141,,success,2026-07-27T21:48:01.902+09:00,2026-07-27T21:48:05.104+09:00,
17,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,46,127.0.0.1:39157,47.5,-47.5,-1.5,-1.5,0,red,1,1,155.357991,1911,0.20735677083333334,158.3286237571952,111.4740973312402,1698.5,10.816653826391969,836,29217399175386,,success,2026-07-27T21:48:05.105+09:00,2026-07-27T21:48:08.299+09:00,
18,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-28,127.0.0.1:39157,-20.2,20.2,-7.800000000000011,-7.800000000000011,0,red,1,1,88.051119,6077,0.659396701388889,152.22165542208327,125.21161757446109,5946.0,106.92053123698928,883,29220530946399,,success,2026-07-27T21:48:08.300+09:00,2026-07-27T21:48:11.494+09:00,
19,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-20,127.0.0.1:39157,-12.1,12.1,-7.900000000000006,-7.900000000000006,0,red,1,1,84.167499,5890,0.6391059027777778,147.9716468590832,124.50203735144314,5756.0,143.26548781894402,928,29223533713007,,success,2026-07-27T21:48:11.495+09:00,2026-07-27T21:48:14.504+09:00,
20,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-1,127.0.0.1:39157,-1.1,1.1,0.09999999999999432,0.09999999999999432,0,red,1,1,95.334488,6090,0.6608072916666666,148.811986863711,125.20788177339902,5956.5,14.866068747318506,973,29226736034410,,success,2026-07-27T21:48:14.505+09:00,2026-07-27T21:48:17.700+09:00,
21,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,27,127.0.0.1:39157,26.0,-26.0,1.0,1.0,0,red,1,1,88.103414,6348,0.6888020833333334,153.09546313799623,115.40705734089477,6211.0,17.0,1020,29229935344252,,success,2026-07-27T21:48:17.701+09:00,2026-07-27T21:48:20.899+09:00,
22,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-38,127.0.0.1:39157,-28.8,28.8,-9.199999999999989,-9.199999999999989,0,red,1,1,87.965786,5364,0.58203125,151.2660328113348,128.51323639075315,5241.0,115.26057435220423,1065,29232937430223,,success,2026-07-27T21:48:20.900+09:00,2026-07-27T21:48:23.903+09:00,
23,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,26,127.0.0.1:39157,26.8,-26.8,-0.8000000000000114,-0.8000000000000114,0,red,1,1,90.179397,6440,0.6987847222222222,153.9554347826087,116.27593167701863,6302.5,41.23105625617661,1113,29236139658814,,success,2026-07-27T21:48:23.905+09:00,2026-07-27T21:48:27.103+09:00,
24,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,21,127.0.0.1:39157,21.7,-21.7,-0.6999999999999886,-0.6999999999999886,0,red,1,1,91.141351,6316,0.6853298611111112,152.1635528815706,118.34198860037999,6181.0,23.259406699226016,1161,29239342408553,,success,2026-07-27T21:48:27.104+09:00,2026-07-27T21:48:30.306+09:00,
